shipment_no,log,current_status
N1635892,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769743,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635888,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769720,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635887,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635886,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635883,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635884,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769713,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769714,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635881,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635880,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769712,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635877,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635879,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769711,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635876,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769709,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635847,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769710,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635848,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635849,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769716,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769701,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635846,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769700,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635845,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769707,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769708,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635844,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769706,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635843,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769761,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635839,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635837,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635836,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769687,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769683,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769682,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769681,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769680,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769678,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769677,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769673,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635780,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769651,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769650,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769632,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769605,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
W702267,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635727,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635730,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635729,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635728,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
